PS C:\Projects\DE2026_DataOPS_HW\HW23> docker compose logs airflow-webserver
airflow_webserver  | 
airflow_webserver  | [2026-03-11T20:09:03.201+0000] {override.py:1911} INFO - Created Permission View: can create on Users
airflow_webserver  | [2026-03-11T20:09:03.205+0000] {override.py:1962} INFO - Added Permission can create on Users to role Admin
airflow_webserver  | [2026-03-11T20:09:03.210+0000] {override.py:1911} INFO - Created Permission View: can read on Users
airflow_webserver  | [2026-03-11T20:09:03.214+0000] {override.py:1962} INFO - Added Permission can read on Users to role Admin
airflow_webserver  | [2026-03-11T20:09:03.221+0000] {override.py:1911} INFO - Created Permission View: can edit on Users
airflow_webserver  | [2026-03-11T20:09:03.226+0000] {override.py:1962} INFO - Added Permission can edit on Users to role Admin
airflow_webserver  | [2026-03-11T20:09:03.235+0000] {override.py:1911} INFO - Created Permission View: can delete on Users
airflow_webserver  | [2026-03-11T20:09:03.240+0000] {override.py:1962} INFO - Added Permission can delete on Users to role Admin
airflow_webserver  | [2026-03-11T20:09:03.252+0000] {override.py:1911} INFO - Created Permission View: menu access on List Users
airflow_webserver  | [2026-03-11T20:09:03.256+0000] {override.py:1962} INFO - Added Permission menu access on List Users to role Admin
airflow_webserver  | [2026-03-11T20:09:03.266+0000] {override.py:1911} INFO - Created Permission View: menu access on Security
airflow_webserver  | [2026-03-11T20:09:03.270+0000] {override.py:1962} INFO - Added Permission menu access on Security to role Admin
airflow_webserver  | [2026-03-11T20:09:03.292+0000] {override.py:1911} INFO - Created Permission View: can create on Roles
airflow_webserver  | [2026-03-11T20:09:03.296+0000] {override.py:1962} INFO - Added Permission can create on Roles to role Admin
airflow_webserver  | [2026-03-11T20:09:03.302+0000] {override.py:1911} INFO - Created Permission View: can read on Roles
airflow_webserver  | [2026-03-11T20:09:03.306+0000] {override.py:1962} INFO - Added Permission can read on Roles to role Admin
airflow_webserver  | [2026-03-11T20:09:03.313+0000] {override.py:1911} INFO - Created Permission View: can edit on Roles
airflow_webserver  | [2026-03-11T20:09:03.316+0000] {override.py:1962} INFO - Added Permission can edit on Roles to role Admin
airflow_webserver  | [2026-03-11T20:09:03.322+0000] {override.py:1911} INFO - Created Permission View: can delete on Roles
airflow_webserver  | [2026-03-11T20:09:03.327+0000] {override.py:1962} INFO - Added Permission can delete on Roles to role Admin
airflow_webserver  | [2026-03-11T20:09:03.337+0000] {override.py:1911} INFO - Created Permission View: menu access on List Roles
airflow_webserver  | [2026-03-11T20:09:03.341+0000] {override.py:1962} INFO - Added Permission menu access on List Roles to role Admin
airflow_webserver  | [2026-03-11T20:09:03.360+0000] {override.py:1911} INFO - Created Permission View: can read on User Stats Chart
airflow_webserver  | [2026-03-11T20:09:03.365+0000] {override.py:1962} INFO - Added Permission can read on User Stats Chart to role Admin
airflow_webserver  | [2026-03-11T20:09:03.375+0000] {override.py:1911} INFO - Created Permission View: menu access on User's Statistics
airflow_webserver  | [2026-03-11T20:09:03.379+0000] {override.py:1962} INFO - Added Permission menu access on User's Statistics to role Admin     
airflow_webserver  | [2026-03-11T20:09:03.400+0000] {override.py:1911} INFO - Created Permission View: can read on Permissions
airflow_webserver  | [2026-03-11T20:09:03.404+0000] {override.py:1962} INFO - Added Permission can read on Permissions to role Admin
airflow_webserver  | [2026-03-11T20:09:03.415+0000] {override.py:1911} INFO - Created Permission View: menu access on Actions
airflow_webserver  | [2026-03-11T20:09:03.420+0000] {override.py:1962} INFO - Added Permission menu access on Actions to role Admin
airflow_webserver  | [2026-03-11T20:09:03.443+0000] {override.py:1911} INFO - Created Permission View: can read on View Menus
airflow_webserver  | [2026-03-11T20:09:03.447+0000] {override.py:1962} INFO - Added Permission can read on View Menus to role Admin
airflow_webserver  | [2026-03-11T20:09:03.455+0000] {override.py:1911} INFO - Created Permission View: menu access on Resources
airflow_webserver  | [2026-03-11T20:09:03.461+0000] {override.py:1962} INFO - Added Permission menu access on Resources to role Admin
airflow_webserver  | [2026-03-11T20:09:03.487+0000] {override.py:1911} INFO - Created Permission View: can read on Permission Views
airflow_webserver  | [2026-03-11T20:09:03.493+0000] {override.py:1962} INFO - Added Permission can read on Permission Views to role Admin
airflow_webserver  | [2026-03-11T20:09:03.503+0000] {override.py:1911} INFO - Created Permission View: menu access on Permission Pairs
airflow_webserver  | [2026-03-11T20:09:03.507+0000] {override.py:1962} INFO - Added Permission menu access on Permission Pairs to role Admin      
airflow_webserver  | [2026-03-11T20:09:03.820+0000] {override.py:1911} INFO - Created Permission View: can create on DAG Runs
airflow_webserver  | [2026-03-11T20:09:03.825+0000] {override.py:1962} INFO - Added Permission can create on DAG Runs to role Admin
airflow_webserver  | [2026-03-11T20:09:03.830+0000] {override.py:1911} INFO - Created Permission View: can read on DAG Runs
airflow_webserver  | [2026-03-11T20:09:03.834+0000] {override.py:1962} INFO - Added Permission can read on DAG Runs to role Admin
airflow_webserver  | [2026-03-11T20:09:03.841+0000] {override.py:1911} INFO - Created Permission View: can edit on DAG Runs
airflow_webserver  | [2026-03-11T20:09:03.845+0000] {override.py:1962} INFO - Added Permission can edit on DAG Runs to role Admin
airflow_webserver  | [2026-03-11T20:09:03.849+0000] {override.py:1911} INFO - Created Permission View: can delete on DAG Runs
airflow_webserver  | [2026-03-11T20:09:03.853+0000] {override.py:1962} INFO - Added Permission can delete on DAG Runs to role Admin
airflow_webserver  | [2026-03-11T20:09:03.860+0000] {override.py:1911} INFO - Created Permission View: menu access on DAG Runs
airflow_webserver  | [2026-03-11T20:09:03.864+0000] {override.py:1962} INFO - Added Permission menu access on DAG Runs to role Admin
airflow_webserver  | [2026-03-11T20:09:03.880+0000] {override.py:1911} INFO - Created Permission View: menu access on Browse
airflow_webserver  | [2026-03-11T20:09:03.884+0000] {override.py:1962} INFO - Added Permission menu access on Browse to role Admin
airflow_webserver  | [2026-03-11T20:09:03.904+0000] {override.py:1911} INFO - Created Permission View: can read on Jobs
airflow_webserver  | [2026-03-11T20:09:03.908+0000] {override.py:1962} INFO - Added Permission can read on Jobs to role Admin
airflow_webserver  | [2026-03-11T20:09:03.914+0000] {override.py:1911} INFO - Created Permission View: menu access on Jobs
airflow_webserver  | [2026-03-11T20:09:03.918+0000] {override.py:1962} INFO - Added Permission menu access on Jobs to role Admin
airflow_webserver  | [2026-03-11T20:09:03.945+0000] {override.py:1911} INFO - Created Permission View: can read on Audit Logs
airflow_webserver  | [2026-03-11T20:09:03.949+0000] {override.py:1962} INFO - Added Permission can read on Audit Logs to role Admin
airflow_webserver  | [2026-03-11T20:09:03.954+0000] {override.py:1911} INFO - Created Permission View: menu access on Audit Logs
airflow_webserver  | [2026-03-11T20:09:03.958+0000] {override.py:1962} INFO - Added Permission menu access on Audit Logs to role Admin
airflow_webserver  | [2026-03-11T20:09:03.997+0000] {override.py:1911} INFO - Created Permission View: can create on Variables
airflow_webserver  | [2026-03-11T20:09:04.006+0000] {override.py:1962} INFO - Added Permission can create on Variables to role Admin
airflow_webserver  | [2026-03-11T20:09:04.012+0000] {override.py:1911} INFO - Created Permission View: can read on Variables
airflow_webserver  | [2026-03-11T20:09:04.018+0000] {override.py:1962} INFO - Added Permission can read on Variables to role Admin
airflow_webserver  | [2026-03-11T20:09:04.023+0000] {override.py:1911} INFO - Created Permission View: can edit on Variables
airflow_webserver  | [2026-03-11T20:09:04.028+0000] {override.py:1962} INFO - Added Permission can edit on Variables to role Admin
airflow_webserver  | [2026-03-11T20:09:04.034+0000] {override.py:1911} INFO - Created Permission View: can delete on Variables
airflow_webserver  | [2026-03-11T20:09:04.039+0000] {override.py:1962} INFO - Added Permission can delete on Variables to role Admin
airflow_webserver  | [2026-03-11T20:09:04.043+0000] {override.py:1911} INFO - Created Permission View: menu access on Variables
airflow_webserver  | [2026-03-11T20:09:04.047+0000] {override.py:1962} INFO - Added Permission menu access on Variables to role Admin
airflow_webserver  | [2026-03-11T20:09:04.067+0000] {override.py:1911} INFO - Created Permission View: menu access on Admin
airflow_webserver  | [2026-03-11T20:09:04.072+0000] {override.py:1962} INFO - Added Permission menu access on Admin to role Admin
airflow_webserver  | [2026-03-11T20:09:04.092+0000] {override.py:1911} INFO - Created Permission View: can create on Task Instances
airflow_webserver  | [2026-03-11T20:09:04.097+0000] {override.py:1962} INFO - Added Permission can create on Task Instances to role Admin
airflow_webserver  | [2026-03-11T20:09:04.102+0000] {override.py:1911} INFO - Created Permission View: can read on Task Instances
airflow_webserver  | [2026-03-11T20:09:04.106+0000] {override.py:1962} INFO - Added Permission can read on Task Instances to role Admin
airflow_webserver  | [2026-03-11T20:09:04.111+0000] {override.py:1911} INFO - Created Permission View: can edit on Task Instances
airflow_webserver  | [2026-03-11T20:09:04.115+0000] {override.py:1962} INFO - Added Permission can edit on Task Instances to role Admin
airflow_webserver  | [2026-03-11T20:09:04.121+0000] {override.py:1911} INFO - Created Permission View: can delete on Task Instances
airflow_webserver  | [2026-03-11T20:09:04.125+0000] {override.py:1962} INFO - Added Permission can delete on Task Instances to role Admin
airflow_webserver  | [2026-03-11T20:09:04.131+0000] {override.py:1911} INFO - Created Permission View: menu access on Task Instances
airflow_webserver  | [2026-03-11T20:09:04.135+0000] {override.py:1962} INFO - Added Permission menu access on Task Instances to role Admin        
airflow_webserver  | [2026-03-11T20:09:04.161+0000] {override.py:1911} INFO - Created Permission View: can read on Task Reschedules
airflow_webserver  | [2026-03-11T20:09:04.165+0000] {override.py:1962} INFO - Added Permission can read on Task Reschedules to role Admin
airflow_webserver  | [2026-03-11T20:09:04.170+0000] {override.py:1911} INFO - Created Permission View: menu access on Task Reschedules
airflow_webserver  | [2026-03-11T20:09:04.174+0000] {override.py:1962} INFO - Added Permission menu access on Task Reschedules to role Admin      
airflow_webserver  | [2026-03-11T20:09:04.202+0000] {override.py:1911} INFO - Created Permission View: can read on Triggers
airflow_webserver  | [2026-03-11T20:09:04.207+0000] {override.py:1962} INFO - Added Permission can read on Triggers to role Admin
airflow_webserver  | [2026-03-11T20:09:04.213+0000] {override.py:1911} INFO - Created Permission View: menu access on Triggers
airflow_webserver  | [2026-03-11T20:09:04.218+0000] {override.py:1962} INFO - Added Permission menu access on Triggers to role Admin
airflow_webserver  | [2026-03-11T20:09:04.236+0000] {override.py:1911} INFO - Created Permission View: can read on Configurations
airflow_webserver  | [2026-03-11T20:09:04.241+0000] {override.py:1962} INFO - Added Permission can read on Configurations to role Admin
airflow_webserver  | [2026-03-11T20:09:04.246+0000] {override.py:1911} INFO - Created Permission View: menu access on Configurations
